"yob","sex","state","race","educ","ideo","pid_1","pid_2r","pid_2d","pid_2i","biden_approval","trump_approval","screener_2","screener_4","policy_educ","policy_tax","policy_immi","policy_mari","statement_1","statement_2","statement_3","statement_4","statement_5","statement_6","statement_7","statement_8","statement_9","statement_10","statement_11","statement_12","statement_13","statement_14","statement_15","statement_16","statement_17","statement_18","statement_19","statement_20","statement_21","statement_22","statement_23","statement_24","statement_25","statement_timer_First.Click","statement_timer_Last.Click","statement_timer_Page.Submit","statement_timer_Click.Count"
13,2,34,"1",4,6,2,NA,1,NA,2,3,2,1,2,2,1,2,1,12,12,14,NA,13,95,NA,7,11,6,3,12,8,96,NA,NA,NA,1,NA,NA,6,NA,NA,NA,0.892,84.808,85.444,59
46,2,19,"1",5,1,2,NA,1,NA,1,4,3,2,2,1,2,2,NA,99,100,100,NA,NA,89,100,NA,100,100,100,NA,NA,88,100,99,NA,NA,100,NA,100,NA,99,1,11.236,152.605,153.586,79
32,2,11,"1",2,2,3,NA,NA,3,2,3,3,3,2,2,3,2,65,NA,33,NA,68,33,61,NA,30,62,25,NA,38,23,43,43,72,NA,NA,NA,NA,41,NA,NA,78,1.345,49.983,96.427,27
28,1,36,"1",2,3,3,NA,NA,2,4,3,3,2,1,1,1,3,55,NA,52,58,72,38,NA,NA,52,41,52,NA,57,NA,NA,NA,NA,50,NA,49,49,38,52,NA,65,1.694,61.09,62.25,32
57,2,14,"1",3,3,2,NA,1,NA,1,4,3,2,1,1,3,2,NA,NA,97,88,94,95,5,98,NA,95,97,NA,92,NA,91,6,94,NA,NA,NA,92,53,NA,86,NA,23.395,98.079,99.15,20
19,2,31,"3",4,3,2,NA,1,NA,2,2,1,1,3,3,3,3,77,67,NA,84,NA,69,74,74,NA,80,75,81,63,NA,66,86,77,NA,NA,67,NA,NA,62,NA,NA,1.323,30.95,79.121,23
28,1,23,"1,6",3,1,2,NA,2,NA,2,4,3,2,1,1,2,1,NA,49,NA,98,54,NA,NA,97,NA,100,100,14,100,100,NA,NA,100,49,14,NA,NA,NA,98,46,2,6.363,62.161,63.267,28
21,2,10,"1",3,7,1,1,NA,NA,4,1,3,1,1,1,1,1,NA,NA,NA,3,NA,0,4,NA,4,NA,NA,3,NA,3,2,3,1,2,1,3,3,7,NA,2,NA,0.975,43.207,65.1,48
29,1,31,"2",2,4,2,NA,1,NA,2,4,3,2,1,1,1,1,NA,NA,62,NA,NA,100,100,51,43,55,64,67,NA,47,50,NA,66,45,52,NA,NA,NA,NA,65,52,1.758,19.442,100.754,22
22,2,15,"1",2,1,2,NA,1,NA,2,4,3,2,2,1,2,2,100,NA,100,NA,NA,100,0,100,NA,NA,100,100,NA,100,0,100,NA,NA,0,0,NA,52,0,100,NA,4.771,80.669,81.763,22
32,2,24,"1",5,5,1,2,NA,NA,4,2,3,3,2,3,2,3,8,1,40,NA,24,NA,NA,18,NA,28,25,83,27,76,70,23,NA,NA,NA,55,14,NA,NA,NA,5,98.245,148.644,150.789,19
5,1,17,"1",3,6,1,2,NA,NA,4,1,3,1,1,2,2,3,NA,49,56,31,NA,NA,71,NA,100,15,59,NA,100,39,41,66,NA,43,57,NA,30,NA,NA,97,NA,0.716,51.823,62.402,39
