yob	sex	state	race	educ	ideo	pid_1	pid_2r	pid_2d	pid_2i	biden_approval	trump_approval	screener_2	screener_4	policy_educ	policy_tax	policy_immi	policy_mari	statement_1	statement_2	statement_3	statement_4	statement_5	statement_6	statement_7	statement_8	statement_9	statement_10	statement_11	statement_12	statement_13	statement_14	statement_15	statement_16	statement_17	statement_18	statement_19	statement_20	statement_21	statement_22	statement_23	statement_24	statement_25	statement_timer_First.Click	statement_timer_Last.Click	statement_timer_Page.Submit	statement_timer_Click.Count
29	1	11	"2"	2	2	2		1		1	2	3	2	1	1	1	1	100	91			93		100		75		100		100	98		96	92		91	91	91	100	92			2.377	59.039	62.779	33
39	1	33	"1"	5	4	3			3	4	1	3	2	2	3	3	1		84		85	83	93		87		83		59	89	89	18		47		15		25			86	14	12.201	72.901	73.93	30
56	2	15	"1"	4	4	3			3	4	2	3	2	2	1	4	1	100	100	100	100		100	0	100			100		100		18	53	87	0		55				12		45.398	168.202	169.803	33
46	2	44	"1"	4	7	3			1	4	1	3	2	1	3	4	2	100	100	0			75	100	100		100		0			0	100	100		0	44			60		71	9.548	80.2	81.987	16
42	2	10	"1"	3	5	3			1	4	1	3	2	2	2	4	1	0	84			59			94		8	12	80	88		88	21		93		89	59	6	93			14.943	127.983	128.856	29
20	1	5	"1"	3	6	1	1			4	1	3	2	1	2	1	2	68	57	63			57	76	59						69	74	53	60		64		81	69	75	69		15.213	28.744	72.29	27
35	1	39	"1"	2	5	3			1	4	1	3	2	2	4	4	1	28			47	63		19	44	10	77		17	79							66	70	16	4	18	31	11.979	69.227	70.393	31
39	1	36	"1"	5	6	1	1			4	1	3	2	1	3	2	2	92	98		97	86							52	100			65	50	50	90	91	62	86		51	98	8.608	81.832	83.634	44
54	1	24	"1"	6	5	3			3	2	4	3	1	2	3	4	3	100		100			77	25	100		100	100	100	100		63	100		44	44	67	100					15.234	118.344	119.535	29
37	1	44	"1"	5	4	3			3	1	4	3	1	4	4	4	4		14	18				17	12		19	46	30		18		22	30			16	16		23	12	31	1.065	60.462	61.501	34
56	1	45	"1"	2	6	1	2			4	2	3	2	3	4	3	1		100	95			70	90	95		80		30	100	91	30		5	10		10			15	50		39.109	246.468	251.265	27
16	2	45	"1,3"	4	1	3			2	4	4	3	2	1	1	1	1	95	73		100		100	1	100		63		100	53					26	0		45	5	1	100		10.824	84.395	85.52	21
9	2	5	"1"	4	6	1	2			4	1	3	2	1	3	3	3	69	19			23	11	68		74	47	70	33			55	43	60	45			41				27	5.801	88.884	174.496	33
29	2	25	"1"	5	4	2		1		2	4	3	2	1	3	2	1		21	99			47			65		100	18			35		69	49		71	38	21	21	59	76	1.501	115.013	116.582	33
22	1	33	"1"	2	4	4			3	4	2	3	2	2	2	2	1	45	64	0			100		43		72		100		58				46	66	66	53	75	68		62	4.803	50.734	61.702	27
16	2	14	"1"	3	1	2		1		2	4	3	2	1	1	1	1	100	70	100	45	50	100	100		100	100	100	100				100				68	50			24		22.67	188.756	189.315	37
7	1	36	"2"	2	6	1	1			3	1	3	2	1	2	2	3	84		99	49	30	78		83	100					39	95	78			45	80		74	42	95		0.849	51.666	68.838	40
35	2	23	"1"	5	1	2		1		1	4	3	2	1	1	4	4	100			92			99	99	71	99		100			100	11	30	100		100			83	79	100	8.501	51.879	64.281	28
58	2	33	"1"	2	3	3			2	1	4	2	2	2	1	2	3	75		93	94		100				88	100			82		97	94	73		88	45	88	4		8	21.794	110.243	112.902	16
57	2	6	"1"	5	2	2		1		1	4	3	2	1	1	1	2	100				100			100	100		100	100	100				100	85	5	100		51	5	85	5	15.752	147.264	149.611	42
31	1	48	"2"	2	1	2		1		1	4	3	2	1	1	1	1		0	0	0				0	0	0				0	0	1	0	2	0	0			0	0		7.902	40.228	64.5	37
